EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,,
E01052,JAXSON DINH,Sr. Manger,Marketing,Research & Development,Male,Asian,45,03-05-2001,"$1,47,752 ",12% ,China,Shanghai,26-12-2011,,
E01064,CLARA KANG,Sr. Manger,IT,Manufacturing,Female,Asian,39,25-03-2017,"$1,35,325 ",14% ,United States,Phoenix,,,
E01070,LEONARDO MARTIN,Manager,Finance,Speciality Products,Male,Black,51,16-02-1995,"$1,25,375 ",9% ,United States,Chicago,,,
E01075,JOSHUA JUAREZ,Analyst II,Finance,Manufacturing,Male,Latino,46,05-05-2015,"$64,364 ",0% ,Brazil,Sao Paulo,,,
E01076,SOFIA VU,Sr. Manger,Human Resources,Research & Development,Female,Asian,52,05-09-2017,"$1,40,042 ",13% ,United States,Austin,,,
E01089,NICHOLAS BROOKS,Analyst II,Accounting,Manufacturing,Male,Caucasian,43,20-10-2017,"$56,555 ",0% ,United States,Phoenix,,,
E01090,JACOB CHENG,Quality Engineer,Engineering,Research & Development,Male,Asian,59,23-12-2009,"$78,006 ",0% ,United States,Miami,,,
E01091,CARTER REED,Development Engineer,Engineering,Manufacturing,Male,Black,40,07-07-2005,"$74,412 ",0% ,United States,Seattle,,,
E01095,ISLA LAI,Vice President,Finance,Corporate,Female,Asian,37,06-12-2011,"$2,25,558 ",33% ,China,Shanghai,,,
E01103,LYLA ALVAREZ,IT Systems Architect,IT,Research & Development,Female,Latino,55,30-08-1994,"$73,955 ",0% ,United States,Phoenix,,,
E01108,HANNAH MARTINEZ,Manager,Marketing,Manufacturing,Female,Latino,65,07-09-2006,"$1,27,626 ",10% ,United States,Miami,,,
E01111,SANTIAGO F MOUA,Sr. Manger,Human Resources,Corporate,Male,Asian,45,07-05-2010,"$1,45,093 ",12% ,United States,Chicago,,,
E01116,JAXON TRAN,Sr. Manger,Sales,Manufacturing,Male,Asian,45,07-09-2007,"$1,51,027 ",10% ,China,Shanghai,,,
E01118,ROMAN YANG,Manager,Human Resources,Manufacturing,Male,Asian,42,12-12-2009,"$1,14,242 ",8% ,United States,Phoenix,,,
E01123,MADISON NELSON,Director,Accounting,Corporate,Female,Caucasian,27,16-07-2021,"$1,61,759 ",16% ,United States,Miami,,,
E01125,JOSHUA YANG,Network Engineer,IT,Manufacturing,Male,Asian,34,10-11-2018,"$61,944 ",0% ,China,Shanghai,,,
E01132,AIDEN BRYANT,Account Representative,Sales,Manufacturing,Male,Black,47,21-10-2002,"$70,122 ",0% ,United States,Columbus,,,
E01141,GIANNA WILLIAMS,Quality Engineer,Engineering,Research & Development,Female,Black,27,28-01-2021,"$95,786 ",0% ,United States,Chicago,,,
E01148,SCARLETT KUMAR,Systems Analyst,IT,Corporate,Female,Asian,55,07-01-2009,"$47,032 ",0% ,United States,Columbus,,,
E01150,ALLISON LEUNG,Sr. Analyst,Sales,Research & Development,Female,Asian,62,18-05-2020,"$97,830 ",0% ,United States,Austin,,,
E01167,KINSLEY COLLINS,Automation Engineer,Engineering,Speciality Products,Female,Caucasian,28,14-11-2018,"$1,15,854 ",0% ,United States,Phoenix,,,
E01188,ALEXANDER JAMES,Sr. Manger,Human Resources,Manufacturing,Male,Caucasian,42,18-04-2013,"$1,31,179 ",15% ,United States,Columbus,,,
E01193,RAELYNN LU,Director,Finance,Research & Development,Female,Asian,27,26-05-2020,"$1,53,628 ",29% ,China,Chongqing,12-12-2020,,
E01194,SAMANTHA ADAMS,Test Engineer,Engineering,Research & Development,Female,Caucasian,45,22-04-2013,"$61,773 ",0% ,United States,Seattle,,,
E01209,JAYDEN WILLIAMS,Manager,Human Resources,Manufacturing,Male,Caucasian,64,26-12-1992,"$1,04,668 ",8% ,United States,Columbus,,,
E01221,EVA FIGUEROA,Analyst II,Sales,Research & Development,Female,Latino,48,14-05-2014,"$61,216 ",0% ,United States,Seattle,,,
E01225,CHRISTIAN FONG,Manager,Sales,Research & Development,Male,Asian,49,10-08-2012,"$1,09,850 ",7% ,China,Beijing,04-02-2020,,
E01232,SAMANTHA FOSTER,Vice President,Human Resources,Research & Development,Female,Black,34,27-07-2019,"$2,20,937 ",38% ,United States,Austin,,,
E01234,JACK CHENG,Director,Human Resources,Manufacturing,Male,Asian,42,16-01-2014,"$1,52,214 ",30% ,China,Beijing,,,
E01238,ELOISE GRIFFIN,Director,Sales,Manufacturing,Female,Caucasian,55,29-10-1995,"$1,53,271 ",15% ,United States,Austin,,,
E01241,HADLEY GUERRERO,Sr. Manger,IT,Research & Development,Female,Latino,49,14-01-2004,"$1,25,086 ",10% ,Brazil,Sao Paulo,,,
E01242,EMERY DOAN,Controls Engineer,Engineering,Corporate,Female,Asian,25,23-06-2021,"$86,464 ",0% ,China,Shanghai,,,
E01249,PENELOPE GUERRERO,Vice President,IT,Speciality Products,Female,Latino,43,04-08-2009,"$2,08,415 ",35% ,United States,Seattle,,,
E01258,GABRIEL BROOKS,Network Engineer,IT,Manufacturing,Male,Caucasian,29,10-12-2018,"$84,596 ",0% ,United States,Miami,,,
E01261,CONNOR SIMMONS,Analyst II,Accounting,Speciality Products,Male,Caucasian,55,05-04-2007,"$52,310 ",0% ,United States,Miami,12-10-2018,,
E01262,MILES MEHTA,Manager,Finance,Manufacturing,Male,Asian,50,19-05-2018,"$1,06,437 ",7% ,China,Chongqing,,,
E01263,ADAM ESPINOZA,Test Engineer,Engineering,Manufacturing,Male,Latino,36,09-04-2009,"$60,055 ",0% ,United States,Seattle,,,
E01264,HAZEL ALVAREZ,Business Partner,Human Resources,Research & Development,Female,Latino,62,19-04-2014,"$45,295 ",0% ,Brazil,Sao Paulo,,,
E01268,CHARLOTTE WU,Sr. Business Partner,Human Resources,Manufacturing,Female,Asian,63,02-05-2007,"$72,805 ",0% ,China,Shanghai,,,
E01271,LUKE MUNOZ,Director,Engineering,Speciality Products,Male,Latino,64,25-08-2017,"$1,69,509 ",18% ,Brazil,Manaus,,,
E01281,ISAAC MITCHELL,Network Architect,IT,Speciality Products,Male,Black,46,10-06-2005,"$67,374 ",0% ,United States,Austin,,,
E01286,MATEO MENDEZ,Development Engineer,Engineering,Research & Development,Male,Latino,47,14-07-1998,"$99,091 ",0% ,United States,Austin,,,
E01291,THOMAS AGUILAR,Sr. Account Representative,Sales,Speciality Products,Male,Latino,45,10-02-2021,"$79,882 ",0% ,United States,Phoenix,,,
E01300,SADIE LEE,Sr. Manger,Marketing,Corporate,Female,Asian,65,24-10-2000,"$1,49,417 ",13% ,China,Chengdu,,,
E01309,EVERLEIGH JIANG,Director,Accounting,Research & Development,Female,Asian,58,14-05-2003,"$1,73,071 ",29% ,United States,Columbus,,,
E01337,ANDREW COLEMAN,Director,Finance,Corporate,Male,Caucasian,41,15-05-2019,"$1,74,415 ",23% ,United States,Miami,,,
E01338,JAXSON COLEMAN,Manager,Finance,Manufacturing,Male,Caucasian,32,15-04-2020,"$1,26,671 ",9% ,United States,Miami,,,
E01339,JEREMIAH HERNANDEZ,Network Engineer,IT,Manufacturing,Male,Latino,26,14-04-2019,"$74,467 ",0% ,United States,Columbus,15-01-2021,,
E01347,AIDEN GONZALES,Vice President,Marketing,Speciality Products,Male,Latino,44,28-03-2021,"$1,86,033 ",34% ,Brazil,Sao Paulo,,,
E01350,NATALIE CARTER,Director,Finance,Corporate,Female,Caucasian,64,21-12-2012,"$1,53,253 ",24% ,United States,Austin,,,
E01351,LEO OWENS,Systems Analyst,IT,Corporate,Male,Caucasian,47,23-04-2020,"$50,069 ",0% ,United States,Seattle,,,
E01357,PAISLEY HUNTER,Engineering Manager,Engineering,Research & Development,Female,Caucasian,61,15-01-2010,"$98,110 ",13% ,United States,Chicago,,,
E01361,EMMA HILL,IT Coordinator,IT,Manufacturing,Female,Caucasian,54,27-12-2016,"$41,673 ",0% ,United States,Miami,,,
E01363,AYLA DANIELS,Technical Architect,IT,Corporate,Female,Caucasian,53,23-04-1997,"$78,153 ",0% ,United States,Miami,,,
E01366,WILLIAM WALKER,Computer Systems Manager,IT,Research & Development,Male,Black,40,24-02-2019,"$95,899 ",10% ,United States,Columbus,08-03-2021,,
E01371,DOMINIC LE,Vice President,Marketing,Corporate,Male,Asian,41,04-10-2014,"$2,57,194 ",35% ,China,Chongqing,,,
E01377,GRAYSON LUU,Quality Engineer,Engineering,Research & Development,Male,Asian,55,30-04-2011,"$89,419 ",0% ,China,Shanghai,,,
E01378,GENESIS XIONG,System Administrator ,IT,Research & Development,Female,Asian,51,25-02-2012,"$64,170 ",0% ,United States,Columbus,,,
E01387,CORA ZHENG,Director,IT,Manufacturing,Female,Asian,27,03-01-2018,"$1,67,100 ",20% ,China,Chengdu,,,
E01388,IVY SOTO,Field Engineer,Engineering,Research & Development,Female,Latino,50,23-10-1997,"$91,763 ",0% ,United States,Austin,,,
E01396,JACK VU,Analyst II,Accounting,Research & Development,Male,Asian,43,10-02-2014,"$58,875 ",0% ,China,Chengdu,,,
E01403,XAVIER PARK,Vice President,IT,Research & Development,Male,Asian,40,08-11-2020,"$2,34,469 ",31% ,China,Chengdu,,,
E01407,ELLIE GUERRERO,Sr. Manger,Human Resources,Corporate,Female,Latino,29,13-07-2020,"$1,41,555 ",11% ,Brazil,Manaus,,,
E01409,JOSE MOLINA,Controls Engineer,Engineering,Manufacturing,Male,Latino,40,28-02-2008,"$1,13,987 ",0% ,Brazil,Manaus,,,
E01412,EVA JENKINS,Sr. Manger,Human Resources,Manufacturing,Female,Black,55,10-11-2004,"$1,42,318 ",14% ,United States,Chicago,,,
E01413,CAROLINE NELSON,Sr. Account Representative,Sales,Speciality Products,Female,Black,60,30-07-1997,"$71,677 ",0% ,United States,Columbus,,,
E01415,HENRY GREEN,Sr. Account Representative,Sales,Speciality Products,Male,Caucasian,32,03-02-2020,"$96,598 ",0% ,United States,Phoenix,,,
E01416,HUDSON THOMPSON,Analyst II,Accounting,Manufacturing,Male,Black,30,20-10-2020,"$67,753 ",0% ,United States,Phoenix,,,
E01417,,Enterprise Architect,IT,Corporate,Female,Latino,57,03-01-1994,"$82,872 ",0% ,Brazil,Manaus,,,
E01422,LYDIA ESPINOZA,Sr. Manger,Marketing,Speciality Products,Female,Latino,29,15-05-2020,"$1,37,106 ",12% ,Brazil,Sao Paulo,,,
E01423,JAMES CASTILLO,Vice President,IT,Manufacturing,Male,Latino,51,19-07-2001,"$2,47,874 ",33% ,Brazil,Manaus,,,
E01425,ANTHONY ROGERS,Vice President,Engineering,Corporate,Male,Caucasian,33,18-06-2015,"$2,05,314 ",30% ,United States,Columbus,,,
E01427,MIA CHENG,Sr. Manger,Sales,Manufacturing,Female,Asian,34,22-04-2015,"$1,54,941 ",13% ,United States,Phoenix,,,
E01429,DYLAN WILSON,Network Administrator,IT,Research & Development,Male,Caucasian,48,27-09-2006,"$76,505 ",0% ,United States,Seattle,08-04-2007,,
E01432,PEYTON GARZA,Systems Analyst,IT,Manufacturing,Female,Latino,53,15-08-2004,"$44,735 ",0% ,Brazil,Manaus,,,
E01465,HANNAH WHITE,Sr. Manger,Accounting,Corporate,Female,Caucasian,62,30-01-2009,"$1,50,555 ",13% ,United States,Phoenix,,,
E01466,CONNOR VANG,Analyst,Sales,Speciality Products,Male,Asian,25,28-07-2021,"$46,845 ",0% ,United States,Miami,,,
E01479,SERENITY BAILEY,IT Systems Architect,IT,Manufacturing,Female,Caucasian,55,21-11-2011,"$81,218 ",0% ,United States,Chicago,,,
E01484,ANNA ZHU,Service Desk Analyst,IT,Manufacturing,Female,Asian,48,22-08-2003,"$82,017 ",0% ,China,Beijing,,,
E01486,MASON CHO,Vice President,Accounting,Research & Development,Male,Asian,59,18-05-2011,"$1,92,213 ",40% ,United States,Chicago,,,
E01488,PENELOPE GRIFFIN,Director,Sales,Manufacturing,Female,Caucasian,61,23-01-2021,"$1,51,783 ",26% ,United States,Seattle,,,
E01496,AVA ORTIZ,Enterprise Architect,IT,Manufacturing,Female,Latino,53,20-07-2004,"$65,702 ",0% ,United States,Columbus,,,
E01499,JADE ROJAS,Director,Finance,Speciality Products,Female,Latino,37,28-01-2019,"$1,65,927 ",20% ,United States,Phoenix,,,
E01501,HUDSON LIU,Engineering Manager,Engineering,Speciality Products,Male,Asian,34,16-11-2017,"$1,10,054 ",15% ,United States,Miami,,,
E01508,PENELOPE RODRIGUEZ,Engineering Manager,Engineering,Manufacturing,Female,Latino,49,12-03-2016,"$1,00,810 ",12% ,Brazil,Rio de Janerio,,,
E01516,WILLOW MAI,Business Partner,Human Resources,Manufacturing,Female,Asian,45,17-12-2003,"$48,345 ",0% ,China,Chengdu,,,
E01519,ANTHONY MARQUEZ,Vice President,IT,Speciality Products,Male,Latino,54,15-08-2009,"$2,41,083 ",39% ,United States,Columbus,,,
E01524,IAN MILLER,Computer Systems Manager,IT,Corporate,Male,Black,31,13-10-2016,"$63,744 ",8% ,United States,Austin,,,
E01525,JOSE ROSS,Engineering Manager,Engineering,Research & Development,Male,Caucasian,53,08-04-1992,"$1,16,878 ",11% ,United States,Miami,,,
E01533,AVERY BAILEY,Sr. Analyst,Sales,Speciality Products,Female,Caucasian,49,15-05-1996,"$86,658 ",0% ,United States,Phoenix,,,
E01540,MILES SALAZAR,IT Coordinator,IT,Manufacturing,Male,Latino,36,23-12-2010,"$53,215 ",0% ,Brazil,Sao Paulo,27-03-2014,,
E01546,MARIA HONG,Vice President,Finance,Speciality Products,Female,Asian,43,31-07-2005,"$2,49,686 ",31% ,China,Chongqing,,,
E01550,RUBY BARNES,Manager,IT,Corporate,Female,Caucasian,27,01-07-2020,"$1,19,746 ",10% ,United States,Phoenix,,,
E01578,ANTHONY HONG,Sr. Manger,IT,Research & Development,Male,Asian,37,29-11-2010,"$1,46,961 ",11% ,United States,Columbus,,,
E01582,ELIJAH COLEMAN,Sr. Manger,Sales,Research & Development,Male,Caucasian,53,19-10-2014,"$1,59,538 ",11% ,United States,Miami,,,
E01584,CARTER MEJIA,Sr. Manger,Human Resources,Research & Development,Male,Latino,29,09-05-2019,"$1,25,828 ",15% ,Brazil,Sao Paulo,,,
E01591,PAISLEY TRINH,Technical Architect,IT,Corporate,Female,Asian,57,04-05-1992,"$76,202 ",0% ,United States,Austin,18-12-1994,,
E01611,GABRIELLA ZHU,Computer Systems Manager,IT,Speciality Products,Female,Asian,36,29-11-2014,"$88,730 ",8% ,China,Chongqing,,,
E01628,JACKSON PERRY,Vice President,Marketing,Research & Development,Male,Caucasian,27,20-10-2019,"$2,56,420 ",30% ,United States,Phoenix,,,
E01631,LEILANI YEE,Sr. Analyst,Marketing,Speciality Products,Female,Asian,47,12-07-2017,"$70,996 ",0% ,China,Chengdu,,,
E01633,ADDISON DO,Operations Engineer,Engineering,Manufacturing,Female,Asian,,30-05-2001,"$90,678 ",0% ,United States,Columbus,,,
E01636,NAOMI COLEMAN,Manager,Marketing,Corporate,Female,Caucasian,29,02-11-2016,"$1,22,054 ",6% ,United States,Phoenix,,,
E01638,MARIA HE,IT Systems Architect,IT,Corporate,Female,Asian,45,28-08-2010,"$82,162 ",0% ,China,Beijing,03-10-2020,,
E01639,,Sr. Analyst,Finance,Manufacturing,Male,Asian,55,20-11-1995,"$95,409 ",0% ,United States,Phoenix,,,
E01642,MIA LAM,Sr. Manger,IT,Manufacturing,Female,Asian,49,18-04-2006,"$1,34,486 ",14% ,United States,Austin,,,
E01649,EVA ALVARADO,Computer Systems Manager,IT,Manufacturing,Female,Latino,46,24-04-2017,"$77,461 ",9% ,Brazil,Sao Paulo,,,
E01652,AVERY DOMINGUEZ,Sr. Manger,Sales,Corporate,Female,Latino,27,13-09-2019,"$1,33,297 ",13% ,Brazil,Rio de Janerio,,,
E01668,NAOMI XI,Director,Finance,Corporate,Female,Asian,53,17-02-2002,"$1,79,494 ",20% ,China,Chongqing,,,
E01684,JAXSON LIANG,Field Engineer,Engineering,Manufacturing,Male,Asian,64,03-03-2019,"$67,114 ",0% ,United States,Phoenix,,,
E01687,LUKE MAI,HRIS Analyst,Human Resources,Research & Development,Male,Asian,41,24-10-2007,"$51,630 ",0% ,China,Beijing,,,
E01706,AVERY SUN,Operations Engineer,Engineering,Manufacturing,Female,Asian,45,11-03-2004,"$1,09,422 ",0% ,China,Chongqing,,,
E01711,BENJAMIN FORD,Analyst II,Finance,Speciality Products,Male,Caucasian,31,22-04-2021,"$74,215 ",0% ,United States,Phoenix,,,
E01712,JAMES SINGH,Director,Marketing,Corporate,Male,Asian,45,12-03-2008,"$1,86,138 ",28% ,China,Chongqing,,,
E01713,NOLAN GUZMAN,Field Engineer,Engineering,Speciality Products,Male,Latino,46,20-06-1999,"$96,997 ",0% ,Brazil,Sao Paulo,,,
E01714,SAVANNAH PARK,HRIS Analyst,Human Resources,Manufacturing,Female,Asian,44,28-01-2009,"$53,301 ",0% ,United States,Seattle,,,
E01722,ASHER HUYNH,Manager,IT,Manufacturing,Male,Asian,45,22-01-2015,"$1,01,288 ",10% ,United States,Phoenix,,,
E01724,NOLAN MOLINA,Computer Systems Manager,IT,Corporate,Male,Latino,36,27-12-2020,"$70,165 ",7% ,Brazil,Manaus,,,
E01733,ELOISE PHAM,Manager,Sales,Speciality Products,Female,Asian,45,20-10-2011,"$1,23,640 ",7% ,China,Shanghai,,,
E01749,NATHAN LEE,Analyst,Accounting,Manufacturing,Male,Asian,29,20-08-2016,"$58,703 ",0% ,United States,Columbus,,,
E01753,CONNOR FONG,Manager,Accounting,Speciality Products,Male,Asian,40,16-02-2018,"$1,20,905 ",5% ,United States,Seattle,,,
E01754,OWEN LAM,Sr. Business Partner,Human Resources,Speciality Products,Male,Asian,30,29-05-2017,"$86,317 ",0% ,China,Chengdu,16-07-2017,,
E01755,AUDREY PATEL,Sr. Manger,Finance,Speciality Products,Female,Asian,37,24-04-2011,"$1,31,183 ",14% ,China,Shanghai,16-03-2016,,
E01760,MADELINE ACOSTA,Sr. Account Representative,Sales,Speciality Products,Female,Latino,26,09-02-2021,"$87,427 ",0% ,Brazil,Sao Paulo,,,
E01762,MAYA NGO,Manager,Sales,Speciality Products,Female,Asian,55,20-10-2012,"$1,08,686 ",6% ,United States,Columbus,,,
E01787,LILLIAN ROMERO,Director,Engineering,Corporate,Female,Latino,27,07-12-2018,"$1,70,164 ",17% ,United States,Austin,,,
E01789,CHARLES LUU,Sr. Manger,Sales,Manufacturing,Male,Asian,25,15-06-2021,"$1,42,731 ",11% ,China,Shanghai,03-06-2022,,
E01797,PIPER LEWIS,Field Engineer,Engineering,Research & Development,Female,Caucasian,33,22-12-2018,"$83,990 ",0% ,United States,Chicago,,,
E01807,CAMERON EVANS,Test Engineer,Engineering,Corporate,Male,Caucasian,50,13-12-2018,"$63,098 ",0% ,United States,Columbus,,,
E01820,NATHAN MILLER,Quality Engineer,Engineering,Speciality Products,Male,Black,27,28-05-2019,"$70,110 ",0% ,United States,Miami,07-01-2021,,
E01832,EZRA SINGH,Analyst,Finance,Manufacturing,Male,Asian,56,10-05-2006,"$41,561 ",0% ,United States,Austin,,,
E01834,CHLOE ALLEN,Solutions Architect,IT,Manufacturing,Female,Caucasian,64,08-07-2004,"$77,903 ",0% ,United States,Seattle,,,
E01839,STELLA ALEXANDER,Automation Engineer,Engineering,Corporate,Female,Caucasian,52,10-12-2005,"$1,02,043 ",0% ,United States,Chicago,,,
E01844,JAYDEN KANG,Analyst,Finance,Research & Development,Male,Asian,46,24-04-2011,"$55,894 ",0% ,United States,Seattle,,,
E01845,LEO FERNANDEZ,Manager,Finance,Research & Development,Male,Latino,54,28-04-1998,"$1,08,268 ",9% ,Brazil,Sao Paulo,15-05-2004,,
E01848,ZOEY JACKSON,Business Partner,,Manufacturing,Female,Black,46,21-08-2008,"$59,067 ",0% ,United States,Miami,,,
E01860,JACK EDWARDS,Manager,Marketing,Manufacturing,Male,Caucasian,38,06-04-2008,"$1,26,856 ",6% ,United States,Columbus,,,
E01870,CARSON CHAU,Director,Finance,Corporate,Male,Asian,58,12-10-2007,"$1,62,038 ",24% ,China,Chongqing,,,
E01877,ABIGAIL GARZA,Analyst,Accounting,Manufacturing,Female,Latino,33,27-05-2018,"$45,049 ",0% ,United States,Seattle,,,
E01883,ISLA GUZMAN,Sr. Manger,Accounting,Speciality Products,Female,Latino,28,06-07-2019,"$1,52,036 ",15% ,Brazil,Rio de Janerio,,,
E01895,GABRIEL ZHOU,IT Coordinator,IT,Manufacturing,Male,Asian,25,17-01-2021,"$41,844 ",0% ,China,Chongqing,,,
E01896,ADAM NELSON,Director,Finance,Speciality Products,Male,Caucasian,25,14-01-2020,"$1,68,014 ",27% ,United States,Chicago,27-07-2021,,
E01898,OLIVER MOUA,IT Systems Architect,IT,Corporate,Male,Asian,29,28-06-2021,"$71,234 ",0% ,United States,Seattle,,,
E01899,XAVIER JACKSON,Vice President,Marketing,Speciality Products,Male,Caucasian,52,11-06-2002,"$2,36,314 ",34% ,United States,Miami,,,
E01902,ELEANOR LI,Sr. Manger,Human Resources,Research & Development,Female,Asian,64,07-12-2003,"$1,25,807 ",15% ,United States,Chicago,,,
E01909,LILLIAN KHAN,Analyst,Finance,Speciality Products,Female,Asian,44,31-05-2010,"$47,387 ",0% ,China,Chengdu,08-01-2018,,
E01921,SARAH DANIELS,Sr. Manger,Accounting,Manufacturing,Female,Caucasian,55,09-01-2011,"$1,38,521 ",10% ,United States,Miami,,,
E01924,ANNA GUTIERREZ,Director,Engineering,Research & Development,Female,Latino,59,15-04-2003,"$1,50,699 ",29% ,Brazil,Sao Paulo,,,
E01927,CHARLES MOORE,Technical Architect,IT,Manufacturing,Male,Black,34,16-02-2016,"$63,411 ",0% ,United States,Miami,,,
E01941,QUINN TRINH,Analyst II,Sales,Corporate,Female,Asian,42,09-05-2010,"$67,743 ",0% ,China,Beijing,25-12-2014,,
E01943,VIVIAN ESPINOZA,Sr. Manger,Sales,Corporate,Female,Latino,52,05-10-2006,"$1,47,966 ",11% ,Brazil,Rio de Janerio,23-05-2019,,
E01947,SOPHIE OWENS,Analyst II,Finance,Research & Development,Female,Caucasian,30,05-03-2015,"$52,697 ",0% ,United States,Seattle,,,
E01952,EVERETT LEE,Network Administrator,IT,Research & Development,Male,Asian,45,26-02-2010,"$90,770 ",0% ,United States,Columbus,,,
E01958,ANGEL LIN,Network Administrator,IT,Manufacturing,Male,Asian,27,24-12-2020,"$92,321 ",0% ,United States,Chicago,,,
E01966,THOMAS WILLIAMS,Field Engineer,Engineering,Speciality Products,Male,Caucasian,45,21-11-2015,"$87,292 ",0% ,United States,Columbus,,,
E01967,JOHN DANG,Director,Sales,Corporate,Male,Asian,58,19-03-1992,"$1,99,848 ",16% ,China,Chongqing,,,
E01970,VIVIAN BARNES,Director,Human Resources,Research & Development,Female,Caucasian,51,28-03-2021,"$1,80,687 ",19% ,United States,Phoenix,,,
E01977,RAELYNN GUPTA,Sr. Manger,Finance,Corporate,Female,Asian,48,10-09-2001,"$1,25,730 ",11% ,China,Chongqing,,,
E01981,GENESIS BANKS,Analyst,Finance,Corporate,Female,Caucasian,63,16-03-2012,"$46,081 ",0% ,United States,Chicago,,,
E01985,ELIANA TURNER,Account Representative,Sales,Research & Development,Female,Black,65,29-09-2000,"$67,837 ",0% ,United States,Austin,,,
E01986,WESLEY SHARMA,Manager,IT,Corporate,Male,Asian,51,23-02-1994,"$1,22,802 ",5% ,China,Shanghai,,,
E01994,ANGEL POWELL,Analyst II,Sales,Research & Development,Male,Caucasian,61,11-07-2008,"$66,521 ",0% ,United States,Seattle,,,
E01995,JONATHAN HO,Vice President,IT,Manufacturing,Male,Asian,37,25-06-2011,"$2,21,592 ",31% ,United States,Columbus,,,
E02005,ISABELLA BUI,Enterprise Architect,IT,Manufacturing,Female,Asian,36,21-11-2014,"$97,500 ",0% ,United States,Miami,,,
E02012,ANNA HAN,System Administrator ,IT,Research & Development,Female,Asian,65,08-05-2003,"$96,548 ",0% ,United States,Austin,,,
E02017,CONNOR JOSEPH,Director,Human Resources,Corporate,Male,Caucasian,50,22-07-1998,"$1,74,895 ",15% ,United States,Chicago,,,
E02023,MAVERICK MEHTA,Systems Analyst,IT,Manufacturing,Male,Asian,40,30-07-2007,"$41,859 ",0% ,United States,Seattle,,,
E02024,AMELIA BELL,Sr. Analyst,Sales,Manufacturing,Female,Caucasian,53,05-08-2017,"$89,769 ",0% ,United States,Seattle,,,
E02031,MELODY COOPER,Development Engineer,Engineering,Research & Development,Female,Caucasian,44,04-09-2009,"$89,695 ",0% ,United States,Austin,,,
E02033,GRACE SUN,Director,Finance,Research & Development,Female,Asian,25,17-04-2021,"$1,86,870 ",20% ,China,Shanghai,,,
E02035,ELI RAHMAN,Service Desk Analyst,IT,Manufacturing,Male,Asian,45,16-03-2010,"$88,182 ",0% ,China,Chengdu,,,
E02038,ELLIE CHUNG,Sr. Manger,Marketing,Corporate,Female,Asian,59,29-08-2008,"$1,57,969 ",10% ,China,Chongqing,,,
E02044,CAROLINE ALEXANDER,Business Partner,Human Resources,Manufacturing,Female,Black,42,18-09-2020,"$47,071 ",0% ,United States,Columbus,,,
E02047,XAVIER PEREZ,Sr. Analyst,Sales,Manufacturing,Male,Latino,51,26-02-1998,"$71,111 ",0% ,Brazil,Rio de Janerio,,,
E02059,ROMAN MUNOZ,Sr. Manger,Sales,Speciality Products,Male,Latino,54,20-10-2011,"$1,22,644 ",12% ,United States,Austin,,,
E02062,NORA SANTIAGO,Analyst,Accounting,Research & Development,Female,Latino,55,26-06-1996,"$48,687 ",0% ,Brazil,Rio de Janerio,,,
E02063,IAN GUTIERREZ,Sr. Business Partner,Human Resources,Research & Development,Male,Latino,32,09-04-2021,"$70,980 ",0% ,Brazil,Rio de Janerio,,,
E02066,GRAYSON YEE,Manager,Human Resources,Corporate,Male,Asian,48,16-07-2015,"$1,10,565 ",9% ,China,Beijing,,,
E02071,MATEO HER,Vice President,Sales,Speciality Products,Male,Asian,44,02-03-2014,"$2,07,172 ",31% ,China,Chongqing,,,
E02072,CHARLES ROBINSON,HRIS Analyst,Human Resources,Speciality Products,Male,Caucasian,26,12-03-2021,"$70,369 ",0% ,United States,Seattle,,,
E02074,NORA BROWN,Enterprise Architect,IT,Manufacturing,Female,Caucasian,,11-02-2014,"$99,575 ",0% ,United States,Austin,,,
E02088,SKYLAR AYALA,Sr. Manger,Finance,Corporate,Female,Latino,55,06-02-2017,"$1,44,986 ",12% ,United States,Phoenix,,,
E02094,MATTHEW GUPTA,Network Engineer,IT,Speciality Products,Male,Asian,45,18-09-2005,"$67,686 ",0% ,China,Beijing,,,
E02103,ANDREW MA,HRIS Analyst,Human Resources,Corporate,Male,Asian,31,24-09-2017,"$71,755 ",0% ,China,Chongqing,,,
E02108,MADELINE COLEMAN,Sr. Manger,Finance,Research & Development,Female,Caucasian,51,28-04-2006,"$1,50,758 ",13% ,United States,Chicago,16-08-2007,,
E02112,CHRISTIAN SANDERS,Vice President,Human Resources,Speciality Products,Male,Black,45,07-08-2013,"$2,36,946 ",37% ,United States,Seattle,,,
E02121,LEVI BROWN,Sr. Analyst,Sales,Corporate,Male,Black,36,26-12-2021,"$75,119 ",0% ,United States,Chicago,,,
E02135,JOHN DELGADO,Cloud Infrastructure Architect,IT,Corporate,Male,Latino,30,11-02-2017,"$92,058 ",0% ,United States,Austin,,,
E02139,RYLEE YU,Director,Accounting,Research & Development,Female,Asian,36,29-09-2015,"$1,78,700 ",29% ,United States,Seattle,,,
E02140,NAOMI ZHAO,Vice President,Human Resources,Speciality Products,Female,Asian,45,22-09-2021,"$2,01,396 ",32% ,United States,Miami,,,
E02147,ALLISON MEDINA,Manager,Finance,Speciality Products,Female,Latino,55,29-04-2010,"$1,11,038 ",5% ,Brazil,Sao Paulo,,,
